,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
948,HIP 57050 c,1.0,1.0,,,1,0.009926346,0.01901932,0.04127919,HIP 57050,UMa,M4V,Radial Velocity,2017
949,HIP 57274 b,2.0,3.0,1.0,1.0,1,27.85807,39.94968,59.37484,HIP 57274,UMa,K5V,Radial Velocity,2011
950,HIP 57274 c,2.0,1.0,1.0,2.0,1,5.505311,6.076915,6.725002,HIP 57274,UMa,K5V,Radial Velocity,2011
951,HIP 57274 d,1.0,1.0,1.0,2.0,1,0.1169021,0.1957827,0.3537457,HIP 57274,UMa,K5V,Radial Velocity,2011
952,HIP 63242 b,2.0,1.0,1.0,2.0,1,59.271,92.1241,151.213,HIP 63242,Mus,G8III,Radial Velocity,2013
953,HIP 64892 b,1.0,1.0,1.0,2.0,1,0.001330255,0.001330256,0.001330256,HIP 64892,Cen,B9.5V,Imaging,2018
954,HIP 65407 b,3.0,1.0,1.0,2.0,1,1.163613,1.527084,2.044408,HIP 65407,CVn,K0,Radial Velocity,2016
955,HIP 65407 c,3.0,1.0,1.0,2.0,1,0.3782227,0.4778444,0.6125922,HIP 65407,CVn,K0,Radial Velocity,2016
956,HIP 65426 b,1.0,1.0,1.0,2.0,1,0.002028009,0.002028009,0.002028009,HIP 65426,Cen,A2V,Imaging,2017
957,HIP 65891 b,2.0,1.0,1.0,2.0,1,4.435613,5.711648,7.482067,HIP 65891,Cen,K0III,Radial Velocity,2015
958,HIP 67537 b,3.0,1.0,1.0,2.0,1,0.6729686,2.106387,10.11717,HIP 67537,Cen,K1III,Radial Velocity,2016
959,HIP 67851 b,2.0,1.0,1.0,2.0,1,67.00851,73.96586,81.85412,HIP 67851,Cen,KOIII,Radial Velocity,2014
960,HIP 67851 c,3.0,1.0,1.0,2.0,1,0.7826515,1.087039,1.554965,HIP 67851,Cen,KOIII,Radial Velocity,2015
961,HIP 68468 b,2.0,4.0,2.0,1.0,1,691.3159,1506.447,3947.15,HIP 68468,Cen,G3V,Radial Velocity,2016
962,HIP 68468 c,2.0,3.0,1.0,1.0,1,2.541348,2.750816,2.982438,HIP 68468,Cen,G3V,Radial Velocity,2016
963,HIP 70849 b,1.0,1.0,1.0,2.0,1,0.000160084,0.000512078,0.002560369,HIP 70849,Lup,K7V,Radial Velocity,2009
964,HIP 73990 b,1.0,1.0,1.0,2.0,1,0.02012611,0.02012612,0.02012612,HIP 73990,Lib,A9V,Imaging,2015
965,HIP 73990 c,1.0,1.0,1.0,2.0,1,0.007861765,0.007861765,0.007861766,HIP 73990,Lib,A9V,Imaging,2015
966,HIP 74865 b,1.0,1.0,1.0,2.0,1,0.00503431,0.005034311,0.005034311,HIP 74865,Lup,F3V,Imaging,2015
967,HIP 74890 b,2.0,1.0,1.0,2.0,1,3.273641,3.75696,4.333153,HIP 74890,Lup,K1III,Radial Velocity,2016
